Step,Sensor26,Sensor32
SHC,0.005360790201304035,0.001461846204199943
0,0.005360790201304035,0.001461846204199943
1,0.0027973966835652428,-0.0011722993756639298
2,-0.010703794252495085,-0.013420304641070559
3,-0.003725567071722887,-0.006336417294057461
4,0.008165089974173098,0.007649389193356551
5,-0.010355567883579329,-0.00995481898443306
6,-0.00434023224877777,-0.002759204230538705
7,-0.005592974610271469,-0.0010844494492270435
8,0.003298419520404259,0.009253141315067583
9,-0.011006670508455371,-0.0026506411021014393
10,0.0011121378970846887,0.00018010554066816937
11,0.005122296970571147,0.015468241902990874
12,0.02456510036935939,0.034630619264857186
13,0.010314172929673198,0.033244653189896486
14,-0.022127939740438092,0.012444510642619741
15,-0.027515758819784537,-0.00025169894928778484
16,-0.04222947224351799,-0.003211758629708362
17,-0.05851342171924489,-0.02747724204837802
18,0.017262896778626826,0.023967258022383635
19,-0.046468998610544675,-0.03763376889253878
20,-0.03848808353809424,-0.020826321344458915
21,-0.03923247872882072,-0.0033339186625542237
22,-0.1451595497866937,-0.08724560406166329
23,-0.1140060360602861,-0.034499703528102756
24,-0.12220418210597392,-0.038990478998992016
25,-0.1204341071574527,-0.05348472602711664
26,-0.26627081630241456,-0.13821916776798424
27,-0.2739296135014873,-0.190114505073889
28,-0.4153851832346559,-0.285770925090679
29,-0.8492043813708737,-0.5998360787668865
30,-0.8786349645512102,-0.627992315964235
31,-0.8749024619404049,-0.6229356167624905
32,-0.8466151570514987,-0.6023427039991842
33,-0.8297969734951502,-0.5841453940908081
34,-0.9225501885440495,-0.6432739585456322
35,-1.0129916084830692,-0.6964981126522801
36,-1.0463516413157687,-0.7057022630683039
37,-1.028291321196271,-0.6930182927032469
38,-0.9241142408447396,-0.6157756438370934
39,-1.1572570931180044,-0.7525351983896861
40,-2.1373931573221325,-1.36523523186121
41,-2.058464850657974,-1.3117692320416494
42,-2.0985873322873876,-1.3338595782111005
43,-1.5139547822744865,-0.9239425241659189
44,-2.617406413917482,-1.4012204617849087
45,-2.2843633648039106,-1.2184115746671422
46,-1.7227428540406833,-0.9432590511690274
47,-1.8713291793481646,-1.0819788592794972
48,-0.7066110606711077,-0.3752083339244964
49,-0.6854242819256267,-0.360773338861037
50,-0.9685575643857476,-0.6442429103911659
51,-0.9685575643857476,-0.6442429103911659
