Step,Sensor26,Sensor32
SHC,0.027614753541154793,0.03873894562853416
0,0.027614753541154793,0.03873894562853416
1,0.0248974838470134,0.03632485910945458
2,0.019976964798286142,0.03268638277722212
3,0.019817789226259572,0.03266801888079734
4,0.025602461933773985,0.03692070909965803
5,0.027320343054607163,0.039340028978391686
6,0.0282158706900166,0.036105383275331075
7,0.04151335192964685,0.04961004504684281
8,0.04361115654347727,0.051058413156469494
9,0.042741918098677355,0.050662225182531086
10,0.04224611640948518,0.04990074739054536
11,0.04088670164450118,0.051549120892675826
12,0.04566298151548446,0.05871402869692084
13,0.040724113457862345,0.05435758794606373
14,0.08030077358287804,0.0902919970651344
15,0.06859315176897218,0.08134776498209494
16,0.05801131042609259,0.06626260798108595
17,0.07668470041788238,0.08691285810524697
18,0.027071313558515168,0.04680661012080549
19,0.022995297681398064,0.03151620311652473
20,0.02287352285924185,0.036624484919715865
21,0.01774232032161673,0.01952469701059852
22,-0.008396085554866508,0.026099522005807074
23,0.013994446904852995,0.05885795270444839
24,0.05350139735236407,0.08061597307046638
25,0.06629907000002692,0.07419604338413263
26,0.02035907377230441,0.01871044254827277
27,0.06686249409776543,0.07626015145633001
28,0.08914137021035737,0.06684265584371495
29,-0.05445590921201396,0.04219023646294644
30,-0.1592697476172644,-0.002684107671434564
31,-0.16505851838346494,0.0059489321221108905
32,-0.3886419318179224,-0.22952885021525016
33,-0.2594137062924436,-0.0914181121101439
34,-1.9042230003675706,-1.214075052435308
35,-2.3034027221250906,-1.6283458543285116
36,-2.3558333813530137,-1.6643958914222572
37,-2.3791676287725156,-1.6782654392562442
38,-2.409940443182518,-1.694341850147174
39,-2.371979772059013,-1.668787811794397
40,-2.366794687248077,-1.6601881460778956
41,-2.358113592463771,-1.6517429147447014
42,-2.3886992717229854,-1.6721380851567096
43,-2.3909523064284723,-1.6723369256833585
44,-2.3750846362170313,-1.661580924097396
45,-2.3724893545323664,-1.6606742019033913
46,-2.565580299977749,-1.730048287235676
