Light,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
Sensor1,0.227941495,0.049034237,0.024517119,0.201085511,0.044085675,0.022087976,0.044085675,0.022087976,0.014710271,0.019613695,0.014710271,0.014710271
Sensor2,0.237062779,0.052385456,0.024956395,0.209633719,0.047440124,0.022437782,0.044875563,0.022483729,0.014973837,0.014973837,0.014973837,0.014973837
Sensor3,0.248934051,0.058583292,0.024409705,0.219642405,0.04881941,0.024454646,0.043892528,0.026828205,0.014690764,0.017064323,0.017109264,0.012182382
Sensor4,0.251949408,0.063604564,0.026887103,0.225017265,0.056243056,0.024463294,0.044033929,0.024463294,0.014677976,0.017146826,0.014677976,0.014677976
Sensor5,0.261517367,0.06416806,0.027170745,0.231992217,0.056741334,0.022189301,0.04193332,0.027170745,0.014853453,0.017253297,0.014808014,0.014808014
Sensor6,0.266999605,0.06801961,0.024321451,0.233056845,0.060714235,0.026682082,0.03643748,0.026682082,0.017016076,0.017016076,0.01697138,0.01697138
Sensor7,0.269643166,0.076025637,0.026946261,0.242696905,0.063789647,0.0269914,0.044130813,0.026946261,0.017184552,0.017139414,0.017184552,0.014710271
Sensor8,0.272001733,0.079906412,0.027475008,0.244526724,0.069877906,0.027429061,0.042402898,0.024956395,0.020011064,0.019965116,0.014973837,0.012501171
Sensor9,0.278090874,0.085456439,0.029291646,0.244097052,0.075737498,0.034173587,0.041474028,0.024409705,0.019527764,0.017109264,0.017019382,0.014645823
Sensor10,0.276412702,0.092960517,0.031824802,0.24463294,0.08075139,0.026887103,0.046502778,0.029355953,0.019570635,0.014632937,0.014677976,0.014677976
Sensor11,0.278816102,0.098720092,0.029661466,0.241864226,0.088893522,0.029616028,0.044378603,0.032061311,0.014808014,0.017253297,0.017253297,0.012317292
Sensor12,0.279115634,0.106817721,0.031537433,0.24036222,0.094701691,0.031537433,0.043698158,0.029132106,0.019376707,0.019421404,0.017016076,0.017016076
Sensor13,0.264739742,0.112778746,0.036753108,0.232890057,0.102926759,0.034323966,0.044085675,0.029375403,0.017139414,0.017184552,0.017139414,0.017184552
Sensor14,0.256981948,0.12230931,0.039930232,0.227080221,0.11475347,0.037411619,0.04235695,0.029855779,0.019919168,0.015019785,0.017446503,0.01749245
Sensor15,0.251352551,0.134230908,0.043937469,0.212341964,0.122048526,0.039055528,0.041474028,0.034128646,0.017109264,0.014645823,0.019572705,0.014600882
