Light,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
Sensor50,0.04991279,0.184723271,0.21457905,0.044921511,0.174786661,0.207115105,0.024910447,0.042448845,0.052339508,0.012455224,0.017446503,0.017446503
Sensor51,0.05123791,0.202623023,0.224569287,0.041518969,0.161193936,0.190350759,0.021946264,0.036592087,0.046355969,0.012227323,0.017109264,0.021946264
Sensor52,0.051350397,0.210384328,0.239695241,0.03918631,0.154141272,0.180983336,0.019570635,0.034248612,0.044033929,0.014677976,0.014632937,0.019570635
Sensor53,0.051850768,0.222120207,0.249245513,0.041978759,0.143189572,0.170224001,0.024725462,0.032061311,0.039488037,0.007426726,0.014808014,0.019744018
Sensor54,0.055858884,0.230651518,0.257288903,0.041337528,0.136039219,0.160181885,0.019376707,0.029042713,0.036392784,0.009755398,0.017016076,0.017016076
Sensor55,0.051508519,0.245171186,0.272072308,0.03922739,0.122585593,0.14462843,0.017184552,0.026946261,0.036798247,0.01223599,0.014710271,0.017139414
Sensor56,0.057422683,0.252082564,0.276993012,0.037411619,0.114799417,0.137237199,0.019965116,0.024956395,0.037411619,0.012455224,0.014973837,0.01749245
Sensor57,0.058538351,0.261161375,0.280644198,0.036637028,0.107402703,0.126930467,0.014645823,0.026828205,0.031710146,0.012182382,0.012182382,0.014690764
Sensor58,0.053819247,0.259310916,0.291045639,0.034248612,0.100322025,0.12231647,0.017101786,0.024463294,0.029310913,0.012254167,0.014677976,0.014677976
Sensor59,0.056786772,0.266544249,0.291178833,0.034552032,0.091338805,0.108546663,0.017298736,0.022189301,0.029616028,0.009872009,0.012362731,0.014808014
Sensor60,0.055814188,0.269539022,0.29127636,0.033987457,0.084946293,0.104367697,0.017016076,0.021826731,0.029132106,0.009710702,0.014566053,0.017016076
Sensor61,0.056411942,0.257407176,0.291731142,0.031849685,0.078499918,0.095594193,0.017139414,0.022042837,0.029420542,0.009806847,0.012281129,0.017184552
Sensor62,0.054904069,0.259546509,0.291966849,0.029947674,0.074915133,0.089797075,0.01749245,0.022437782,0.027475008,0.009982558,0.014973837,0.015019785
Sensor63,0.056164792,0.246560493,0.280644198,0.031710146,0.068347174,0.082992998,0.014645823,0.019527764,0.026783264,0.009763882,0.014690764,0.014690764
Sensor64,0.053774207,0.249525598,0.273943853,0.031779762,0.066028374,0.08066131,0.014632937,0.019570635,0.024418254,0.009785318,0.014723016,0.014677976
Sensor65,0.054296051,0.241864226,0.266544249,0.024725462,0.064213499,0.07399463,0.012362731,0.019744018,0.024634584,0.012362731,0.012362731,0.014808014
Sensor66,0.055858884,0.242767547,0.2573336,0.029132106,0.058264211,0.075235591,0.014566053,0.021826731,0.026682082,0.012071333,0.012160726,0.014566053
