Light,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
Sensor1,0.012281129,0.014710271,0.00971657,0.019613695,0.022087976,0.0269914,0.056411942,0.095549054,0.066173651,0.120111312,0.404509887,0.144673569
Sensor2,0.01749245,0.014973837,0.012501171,0.022483729,0.022483729,0.022437782,0.054904069,0.099779633,0.064886627,0.122263362,0.409192984,0.144747091
Sensor3,0.014645823,0.014645823,0.012182382,0.024409705,0.026873146,0.026828205,0.053611469,0.109776261,0.073229115,0.124467026,0.409993164,0.14157629
Sensor4,0.014677976,0.009830357,0.012209127,0.022039484,0.026887103,0.029355953,0.063559525,0.114954962,0.075858731,0.117378771,0.401152981,0.146824804
Sensor5,0.012362731,0.014808014,0.012362731,0.024680023,0.029661466,0.027125306,0.061677338,0.125845398,0.078976074,0.118464111,0.399770934,0.145634855
Sensor6,0.017016076,0.012160726,0.012160726,0.024276755,0.029132106,0.026682082,0.067974913,0.13590513,0.080090942,0.116483726,0.390833402,0.140849874
Sensor7,0.009806847,0.01475541,0.009806847,0.024517119,0.029465681,0.026946261,0.071077074,0.149486715,0.083313064,0.115162749,0.382376772,0.139725007
Sensor8,0.00993661,0.014973837,0.007509892,0.024956395,0.029947674,0.027429061,0.074823238,0.162147647,0.087324409,0.117272083,0.3693087,0.137283147
Sensor9,0.009763882,0.014690764,0.009763882,0.029291646,0.034173587,0.029291646,0.078066115,0.178078495,0.090293438,0.112239703,0.348991372,0.131812408
Sensor10,0.009830357,0.012254167,0.012209127,0.026932143,0.034248612,0.031779762,0.08070635,0.193192463,0.092960517,0.112531152,0.332610718,0.129677978
Sensor11,0.009872009,0.014853453,0.014808014,0.027125306,0.039488037,0.034552032,0.083866639,0.209712038,0.09622937,0.103610658,0.313413573,0.125890837
Sensor12,0.009755398,0.012160726,0.012116029,0.026726778,0.041248135,0.033987457,0.089756948,0.225706774,0.10196237,0.10196237,0.29127636,0.12142847
Sensor13,0.014665132,0.017139414,0.017139414,0.029375403,0.041656532,0.036753108,0.090690769,0.250029471,0.107830183,0.097978197,0.272117447,0.117682169
Sensor14,0.014973837,0.01749245,0.01749245,0.029947674,0.044921511,0.039884284,0.094834301,0.266964506,0.112280804,0.092315688,0.249518003,0.114845365
Sensor15,0.014645823,0.017109264,0.019527764,0.034173587,0.053701351,0.043892528,0.100057321,0.283062697,0.114703144,0.087829997,0.226987787,0.104984203
Sensor16,0.014632937,0.017146826,0.014632937,0.036672421,0.053864287,0.046502778,0.097808136,0.295938297,0.117423811,0.085553969,0.215231947,0.102745835
Sensor17,0.019744018,0.017298736,0.019744018,0.039442598,0.061722777,0.046869324,0.103610658,0.315813417,0.120909393,0.078930635,0.194949463,0.096274809
Sensor18,0.01697138,0.017016076,0.01697138,0.038842808,0.065569586,0.048553509,0.104367697,0.322769096,0.118889053,0.077640919,0.177197961,0.092296364
Sensor19,0.017184552,0.019568556,0.017139414,0.041656532,0.073596495,0.053937661,0.105355902,0.335816816,0.122540454,0.078499918,0.161767844,0.088261627
Sensor20,0.017446503,0.020011064,0.01749245,0.047394177,0.079906412,0.057376735,0.109762191,0.346779022,0.122263362,0.072350572,0.152211036,0.08988897
Sensor21,0.019572705,0.021991205,0.019527764,0.05123791,0.09033838,0.056119851,0.109776261,0.348946431,0.122003585,0.065883733,0.134230908,0.075647615
Sensor22,0.019615675,0.021994445,0.021904365,0.048926588,0.095429366,0.063604564,0.107638493,0.352136314,0.124740279,0.066028374,0.124785319,0.073434922
Sensor23,0.019744018,0.027216184,0.029661466,0.051805329,0.10610138,0.066613343,0.10610138,0.35036545,0.123354676,0.059232055,0.113528106,0.071549347
Sensor24,0.0194661,0.026726778,0.026682082,0.055814188,0.114123095,0.072785568,0.109223048,0.344595827,0.123833797,0.058264211,0.10196237,0.065569586
Sensor25,0.024517119,0.029465681,0.024517119,0.056366803,0.127534156,0.073551356,0.102971898,0.338245959,0.125014735,0.05146338,0.095594193,0.061270227
Sensor26,0.024956395,0.029947674,0.027475008,0.059895348,0.13980176,0.084897691,0.107289525,0.329286572,0.119744749,0.049866842,0.087324409,0.059895348
Sensor27,0.024364764,0.034173587,0.026873146,0.065928674,0.151385113,0.085456439,0.102520762,0.312354344,0.117121644,0.046355969,0.080529556,0.053701351
Sensor28,0.029355953,0.036717461,0.029355953,0.070921033,0.166350399,0.083175199,0.100276985,0.295893257,0.110062303,0.046502778,0.075813691,0.051350397
Sensor29,0.027170745,0.036997315,0.032061311,0.076485352,0.187613614,0.086357361,0.098674653,0.278816102,0.103656097,0.039488037,0.069104065,0.046914763
Sensor30,0.031582129,0.041292831,0.03394276,0.077640919,0.196664061,0.089846341,0.092251668,0.264549582,0.10196237,0.041248135,0.060669539,0.038887504
Sensor31,0.034369105,0.049034237,0.036753108,0.076070776,0.220654067,0.098068474,0.088216488,0.242606627,0.102971898,0.03922739,0.056366803,0.046605095
Sensor32,0.034938953,0.052385456,0.039930232,0.082379078,0.237154675,0.102344194,0.084805796,0.22451566,0.099779633,0.037457566,0.052431404,0.042402898
Sensor33,0.036637028,0.056164792,0.041518969,0.08791988,0.256414257,0.104939262,0.082992998,0.204996582,0.090293438,0.031755087,0.04640091,0.039010587
Sensor34,0.036717461,0.061180755,0.044033929,0.085599009,0.269141273,0.110062303,0.075813691,0.190768653,0.090536708,0.031824802,0.044033929,0.03914127
Sensor35,0.044424041,0.066658782,0.046914763,0.093829526,0.293760432,0.113528106,0.07399463,0.172714722,0.088893522,0.027125306,0.044424041,0.039533476
Sensor36,0.046103486,0.072830264,0.048553509,0.094656995,0.298671127,0.116528423,0.067974913,0.160137188,0.080090942,0.026682082,0.038842808,0.031582129
Sensor37,0.046559956,0.078499918,0.051508519,0.098113613,0.318767681,0.11763703,0.068647932,0.144583291,0.073551356,0.024517119,0.034323966,0.029420542
Sensor38,0.049866842,0.084897691,0.054904069,0.097352915,0.326951749,0.117318031,0.062413962,0.129773254,0.069877906,0.024956395,0.029947674,0.027475008
Sensor39,0.056164792,0.095220321,0.061046733,0.107402703,0.334435431,0.114613261,0.058583292,0.114703144,0.065928674,0.024364764,0.026828205,0.021991205
Sensor40,0.058711906,0.100322025,0.061180755,0.100276985,0.337638497,0.12231647,0.053774207,0.110062303,0.063604564,0.021994445,0.029310913,0.026932143
Sensor41,0.059186616,0.111128262,0.066613343,0.101210814,0.338229913,0.120863955,0.051850768,0.101210814,0.059232055,0.024680023,0.027125306,0.02223474
Sensor42,0.060669539,0.121383773,0.067974913,0.102007066,0.337469238,0.121339077,0.050958837,0.089846341,0.058264211,0.021871427,0.024232058,0.021871427
Sensor43,0.066173651,0.13239244,0.076025637,0.098068474,0.333477952,0.127443878,0.049034237,0.080883922,0.053937661,0.019613695,0.0269914,0.022087976
Sensor44,0.072350572,0.149692423,0.077341851,0.097306967,0.326997697,0.124736028,0.044921511,0.077295903,0.052385456,0.01749245,0.024956395,0.022529677
Sensor45,0.075692557,0.168404495,0.087874939,0.100012379,0.310025726,0.117121644,0.041474028,0.065928674,0.048774469,0.017064323,0.021991205,0.019527764
Sensor46,0.075858731,0.178604566,0.090536708,0.095384327,0.300966076,0.119802581,0.039096231,0.063604564,0.046502778,0.019525595,0.022039484,0.019570635
Sensor47,0.083866639,0.197440184,0.093738649,0.09622937,0.283888423,0.113528106,0.039488037,0.056741334,0.04193332,0.017253297,0.024680023,0.017253297
Sensor48,0.087396317,0.213590745,0.097062322,0.089846341,0.271989045,0.111673072,0.036392784,0.05340886,0.043698158,0.016926684,0.019421404,0.017016076
Sensor49,0.093165051,0.235364339,0.105401041,0.088261627,0.252548891,0.107875322,0.034278827,0.05146338,0.03922739,0.014710271,0.019613695,0.017184552
Sensor50,0.097306967,0.252036616,0.112326752,0.087370357,0.237154675,0.104862807,0.032374392,0.049866842,0.039884284,0.012501171,0.019919168,0.01749245
Sensor51,0.102520762,0.275852139,0.112239703,0.080529556,0.217268846,0.100057321,0.026828205,0.043892528,0.034128646,0.012227323,0.017064323,0.017109264
Sensor52,0.102790874,0.288711909,0.117423811,0.078282541,0.200599011,0.095429366,0.029310913,0.03914127,0.034248612,0.014632937,0.019570635,0.017191866
Sensor53,0.108592101,0.308523007,0.123354676,0.076485352,0.182632171,0.091293366,0.027125306,0.036997315,0.034552032,0.012362731,0.014853453,0.014853453
Sensor54,0.109223048,0.318047835,0.123744404,0.075235591,0.169937283,0.087396317,0.024232058,0.033987457,0.029132106,0.014566053,0.014566053,0.014566053
Sensor55,0.112778746,0.345668803,0.132347302,0.071077074,0.156954698,0.085832485,0.0269914,0.031849685,0.029375403,0.01223599,0.014710271,0.014710271
Sensor56,0.114845365,0.351908144,0.134764533,0.067359293,0.142274426,0.08233313,0.024956395,0.029947674,0.027429061,0.012455224,0.017446503,0.012501171
Sensor57,0.122048526,0.363682136,0.131767467,0.063465233,0.129348967,0.078155998,0.021946264,0.026783264,0.026873146,0.009718941,0.017064323,0.012227323
Sensor58,0.12231647,0.36694941,0.134525597,0.058711906,0.12236151,0.073389882,0.022039484,0.029355953,0.021994445,0.012164087,0.012209127,0.012209127
Sensor59,0.125890837,0.37513635,0.135717407,0.059232055,0.10863754,0.069104065,0.019744018,0.024680023,0.024680023,0.009872009,0.012317292,0.014853453
Sensor60,0.128689148,0.373862022,0.13839985,0.055858884,0.099557042,0.065524889,0.0194661,0.026771475,0.021871427,0.012160726,0.014566053,0.014566053
Sensor61,0.122585593,0.37023106,0.134821583,0.053937661,0.090735908,0.06621879,0.017229691,0.026946261,0.024517119,0.012281129,0.014665132,0.014710271
Sensor62,0.127300589,0.361890703,0.137191251,0.04991279,0.084851743,0.059849401,0.01749245,0.022483729,0.024910447,0.012455224,0.014973837,0.012455224
Sensor63,0.126930467,0.353918254,0.134185967,0.051327793,0.073318998,0.05849341,0.017109264,0.019482823,0.019527764,0.009718941,0.009718941,0.014645823
Sensor64,0.119847621,0.340017266,0.134525597,0.048971628,0.070966072,0.058756945,0.014677976,0.019525595,0.021994445,0.012209127,0.017146826,0.014677976
Sensor65,0.118418672,0.33066687,0.130826842,0.046914763,0.069149503,0.054296051,0.017253297,0.022189301,0.017298736,0.012317292,0.009917448,0.014853453
Sensor66,0.114078399,0.318003138,0.128644452,0.041292831,0.065569586,0.05340886,0.01697138,0.019421404,0.026771475,0.012116029,0.014610749,0.012160726
